codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0780582J;1.958749502000046;48.823475408000036;Jean-Vilar;Plaisir;2001/2006;2010;Restructuration globale;20.29;20.29;SAERP;Bathellier / Cotec / BET TCE/Phi2 Ingénierie;2013-11-02;Nord France Constructions/Locaconcept/Sanitherm/STEPC/Ragueneau/Watelet/Egeri Apem/ITB;Lots séparés;8;2015-10-07;Opération livrée;2017;48.823475408,1.958749502
0782593V;2.059021227000073;48.80203506300006;Jean-Perrin;Saint Cyr l'Ecole;2001/2006;2002;Restructuration d'ensemble - extension;28.0;32.19;CITALLIOS (ex-SARRY 78);Naud-Poux / Arcadis ESG / GV ingénierie;2005-05-19;Léon Grosse;Ent générale;;2009-06-04;Opération livrée;2013;48.802035063,2.059021227
0782562L;2.136726773000021;48.805700236000064;Hoche;Versailles;2001/2006;2000;Restructuration partielle - extension;70.88;75.85;Icade Promotion;Dubois / Betci / Kaba;2003-09-29;Léon Grosse;Ent générale;;2006-01-06;Opération livrée;2010;48.805700236,2.136726773
0910628N;2.246205681000049;48.59662180000004;Paul-Belmondo;Arpajon;2001/2006;2011;Restructuration du gymnase;4.2;4.21;SAERP;Isabelle BIRO;2014-03-31;;;;;En Chantier;;48.5966218,2.246205681
0912251C;2.235303781000027;48.703312303000075;Henri-Poincaré;Palaiseau;2001/2006;1998;Reconstruction;10.67;16.87;Essonne aménagement;Morgoulis / Toussaint;2000-11-20;SK technique / Paris ouest / Somoclest;Lots séparés;6;2002-07-15;Opération livrée;2005;48.703312303,2.235303781
0920132U;2.259668066000074;48.91063012500007;Albert-Camus;Bois Colombes;2012/2022;2014;Rénovation globale;24.37;4.28;SAERP;Fabienne GERIN-JEAN Architecte;;;;;;Etude de maîtrise d'œuvre;;48.910630125,2.259668066
0921166T;2.255659069000046;48.76746078800005;Jean-Jaurès;Chatenay Malabry;2012/2022;2014;Rénovation thermique - ANNULE PPI 2017;7.8;7.8;SAERP;;;Convention de mandat arrêtée;;;;Abandonné;;48.767460788,2.255659069
0921626T;2.210822162000056;48.883565832000045;Claude-Chappe;Nanterre;2012/2022;2013;Rénovation thermique;6.8;6.8;SAERP;Lair & Roynette;;Bouygues;;;;Opération livrée;2017;48.883565832,2.210822162
0920146J;2.288115866000055;48.777587381000046;Marie-Curie;Sceaux;2001/2006;2000;Restructuration;;1.3;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.777587381,2.288115866
0920146J;2.288115866000055;48.777587381000046;Marie-Curie;Sceaux;2001/2006;1997;Remplacement des menuiseries extérieures;3.01;3.11;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.777587381,2.288115866
0931198X;2.428207967000049;48.90870417200006;Alfred-Costes;Bobigny;2001/2006;2009;Restructuration partielle;12.0;18.3;Aménagement 77;Anne-Charlotte ZANASSI (Phileas);;ALGECO/SPACIOTEMPO / DEMATHIEU BARD / STEPC / COLAS IDFN / AGRIGEX;;7;2017-01-02;En Chantier;;48.908704172,2.428207967
0930122C;2.445542092000039;48.85751894200007;Condorcet;Montreuil;2001/2006;2008;Reconstruction bat A et restructuration partielle bat C & D - SUSPENDU;37.0;6.66;SEMAEST;Alain Gignoux / Mizrahi;2012-08-26;;;;;Suspendue;;48.857518942,2.445542092
0932667U;2.373997797000072;48.94376722700008;Lycée neuf;Saint Denis;2001/2006;2008;Construction lycée de 1200 places+ internat de 170 lits;60.0;60.0;Icade Promotion;Brenac-Gonzalez / Berim / AGI2D;2012-08-21;Eiffage / IDFC / Léon Grosse;;;2015-01-23;Opération livrée;2017;48.943767227,2.373997797
0941301D;2.328712560000042;48.761153378000074;Frédéric-Mistral;Fresnes;2001/2006;1998;Rénovation de la demi-pension;1.83;3.06;SAERP;Bredin / Itec / Quidort / Economie 80;1999-09-20;SNRB / IDFC;Lots séparés;2;2003-02-19;Opération livrée;2003;48.761153378,2.32871256
0940119U;2.508468337000068;48.83346212100008;Paul-Doumer;Le Perreux sur Marne;2001/2006;2010;Restructuration du service de restauration;3.6;7.2;SAERP;Delaittre / Arwytec / Beterem;2012-09-28;Cif Réhabilitation / ERI / FBI / Ragueneau / Servicom;Lots séparés;5;2015-05-22;Opération livrée;2016;48.833462121,2.508468337
0940121W;2.473159508000038;48.80318375200005;d'Arsonval;Saint Maur des Fossés;2001/2006;1998;Rénovation et restructuration de la demi-pension;1.52;2.05;DDE 94;Fricout - Cassignol / Novorest / Forgue;1999-09-20;Actra / Sertba / Avril / Bonnet / Morand;Lots séparés;5;2002-05-13;Opération livrée;2003;48.803183752,2.473159508
0951811C;2.226499432000026;48.951364014000035;Fernand-et-Nadia-Léger;Argenteuil;2012/2022;2014;Rénovation ciblée : restructuration du bâtiment principal et des logements de fonction;25.81;4.54;SAERP;Atelier Catherine FURET / EGIS BATIMENTS / Franck BOUTTE Consultants;;;;;;Etude de maîtrise d'œuvre;;48.951364014,2.226499432
9958C15?;;;Lycée neuf;Cormeilles en Parisis;2017/2027;2017;Construction d'un lycée de 1200 places;42.0;7.4;;;;;;;;Etudes et diagnostics;;
0950656X;2.200456239000062;48.97873173600004;Le-Corbusier;Cormeilles en Parisis;2001/2006;1999;Rénovation restructuration et extension partielle;24.69;33.72;Icade Promotion;Borderioux / Dilegge / Steac / BET TCE;2002-04-06;Gagneraud;Ent générale;;2005-05-09;Opération livrée;2009;48.978731736,2.200456239
0950658Z;2.131604284000048;49.05575508800007;Château d'Epluches;Saint Ouen l'Aumône;2001/2006;1998;Rénovation extension;13.71;22.3;SEMAVO;Riquier-Sauvage/BETM-economie 95;2000-11-04;Quillery;Ent générale;;2003-01-12;Opération livrée;2005;49.055755088,2.131604284
