codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0771997C;2.563807541000074;48.65488755200005;Jacques-Prévert;Combs la Ville;2001/2006;2003;Restructuration d'ensemble - extension;37.02;38.93;Icade Promotion;Hesters-Oyon / Scoping / Etamine;;Dumez / Bonnardel / UTB / Delagrave;Lots séparés;9;2009-06-02;Opération livrée;2012;48.654887552,2.563807541
0772751X;2.679614480000055;49.064752214000066;Charlotte Delbo;Dammartin-en-Goele;2001/2006;2006;Construction (800 places);35.91;36.33;SAERP;Dottelonde / Alto Ingénierie / Khephren Ing;;Sicra / Charpente / Jean Lefevre / SNEE;Lots séparés;;;Opération livrée;2013;49.064752214,2.67961448
0770945J;2.927164537000067;48.37300888600004;Gustave-Eiffel;Varennes-sur-Seine;2001/2006;1998;Rénovation - extension;13.41;15.41;DDE 77;Chesnot - Lepic / SETEC / BECOD;2000-09-13;Hanny;Ent générale;;2004-08-03;Opération livrée;2007;48.373008886,2.927164537
0782567S;2.14177350600005;48.79863567400008;Marie-Curie;Versailles;2001/2006;1999;Rénovation et extension ponctuelle des bâtiments;19.82;30.18;AFTRP;Richard / Schnoeller / Batiserf / Bethac;2001-11-29;Bouygues;Ent générale;;2004-06-09;Opération livrée;2009;48.798635674,2.141773506
0910630R;2.33393135700004;48.482819051000035;Alexandre-Denis;Cerny;2001/2006;2010;Construction d'une extension de 400 places et restructuration des ateliers;41.84;41.85;Essonne aménagement;François MALISAN;2014-10-12;;;;;En Chantier;;48.482819051,2.333931357
0911828T;2.420298327000069;48.62639908500006;Georges-Brassens;Courcouronnes;2001/2006;2008;Restructuration partielle - extension;4.2;4.2;Essonne aménagement;Raphaël Gabrion - architecte;2012-05-07;Altelec / Egeri / Siteme / FARC;;;2015-01-07;Opération livrée;2016;48.626399085,2.420298327
0910687C;2.266514062000056;48.733475887000054;Fustel-de-Coulanges;Massy;2001/2006;2000;Restructuration d'ensemble - extension;31.19;40.28;Essonne aménagement;X'TU / OTH bâtiment;2005-03-06;;Lots séparés;6;2008-10-31;Opération livrée;2012;48.733475887,2.266514062
0911353B;2.447227840000039;48.70555197600004;Jean-Isoard;Montgeron;2001/2006;2000;Rénovation - extension;13.88;16.08;;Lucien Guerra;;Chagnaud / Cise;METP;;2000-02-14;Opération livrée;2002;48.705551976,2.44722784
0920142E;2.274384238000039;48.88595456300004;Pasteur;Neuilly sur Seine;2001/2006;1998;Réfection des façades;7.726;5.37;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.885954563,2.274384238
0922276Z;2.20030459000003;48.840653108000026;Santos-Dumont;Saint-Cloud;2001/2006;2007;Restructuration des cuisines pédagogiques;1.5;1.5;Icade Promotion;;;;;;;Etude de maîtrise d'œuvre;;48.840653108,2.20030459
0922276Z;2.20030459000003;48.840653108000026;Santos-Dumont;Saint-Cloud;2012/2022;2014;Opération ciblée : construction d'espaces sportifs couverts - SUSPENDU;8.0;0.16;SAERP;;;;;;;Suspendue;;48.840653108,2.20030459
0920146J;2.288115866000055;48.777587381000046;Marie-Curie;Sceaux;2001/2006;2010;Restructuration ciblée du pôle sciences;4.21;8.01;Icade Promotion;Vincent SPELLER (FABRE-SPELLER);2014-07-04;CBC/Loison / Sas Meri / Cougnaud / Posseme / Giffard / Lefevre /;;;2017-03-02;En Chantier;;48.777587381,2.288115866
0921505L;2.288010581000037;48.820214891000035;Dardenne;Vanves;2001/2006;1997;Réfection des toitures terrasses, des façades, menuiseries extérieures et de la cour;2.55;2.56;DDE 92;Thierry Bresdin / Itec;2004-12-02;Setrec / J2M / Etandex / René Clerc;Lots séparés;5;2007-01-06;Opération livrée;2009;48.820214891,2.288010581
0920149M;2.28696659700006;48.825146293000046;Michelet;Vanves;2001/2006;1997;Rénovation - réhabilitation;6.56;6.75;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.825146293,2.286966597
0932026X;2.548319106000065;48.90256519700006;Alfred-Nobel;Clichy;2012/2022;2013;Opération ciblée : résorption des bâtiments démontables et modulaires;14.3;14.28;H4 puis SODEREC dès 2015;Alain GIGNOUX ARCHITECTE/MIZRAHI/ELEMENTS INGENIERIE;;;;;;Etude de maîtrise d'œuvre;;48.902565197,2.548319106
0931233K;2.542119433000039;48.887652770000045;Jean-Baptiste-Clément;Gagny;2001/2006;2009;Opération ciblée : lieux de vie;5.0;5.92;SAERP;Martine Weissmann;2011-05-13;LAINE / STEPC / BENTIN / MECAFOSSE;;;2015-04-17;Opération livrée;2017;48.88765277,2.542119433
0931430Z;2.400326473000064;48.92962484600008;Jacques-Brel;La Courneuve;2001/2006;2009;Restructuration du service de restauration;3.6;3.63;Essonne aménagement;Daudre-Vignier / Betior / Pagny / Belnard;2013-10-04;CBC / UTB / SEDD / FROID 77 / EPHEMERIS;;;;Opération livrée;2016;48.929624846,2.400326473
0930830X;2.511201233000065;48.898681070000066;Albert-Schweitzer;Le Raincy;2001/2006;2007;Restructuration partielle;19.18;21.85;SAERP;Pierre-Louis Faloci / Icrec ingénierie;2010-03-31;PRADEAU / CFA / DUBOIS / COLAS;;;2015-12-01;En Chantier;;48.89868107,2.511201233
0930133P;2.468358030000047;48.88714293900006;Théodore-Monod;Noisy le Sec;2001/2006;1998;Rénovation;13.71;23.08;Icade Promotion;David Ventre / BET AR & C;2000-10-30;Bouygues;Ent générale;;2005-11-14;Opération livrée;2008;48.887142939,2.46835803
0940132H;2.544375648000028;48.80637870700008;Gabriel-Péri;Champigny sur Marne;2001/2006;2009;Restructuration d'ensemble - extension;24.7;29.63;SAERP;Julien FORTIER -DURAND Agence VEA (ex Agence Ignace Grifo);2011-11-28;;;;;En Chantier;;48.806378707,2.544375648
0940134K;2.345538985000076;48.81352660600004;Val-de-Bièvre;Gentilly;2001/2006;2008;Restructuration globale - extension (200 places);28.0;27.69;Essonne aménagement;Louis Soria / Lavalin / Drauart;2012-03-30;Genier-Déforge/Eiffage/AATHEX/Ege Morel/Servicom Europe/Le Froid Bornet/Pro Fil;Lots séparés;8;2015-03-07;En Chantier;;48.813526606,2.345538985
0950658Z;2.131604284000048;49.05575508800007;Château d'Epluches;Saint Ouen l'Aumône;2001/2006;2010;Restructuration du service de restauration;3.48;3.48;SAERP;Louis Tequi architecture/Noble Inginierie/Technis/Optimum/Novorest;2012-07-16;Adthermique / STEPC / AKFN;;;2015-01-10;Opération livrée;2017;49.055755088,2.131604284
0750654D;2.347383254000022;48.84635840900006;Henri-IV;Paris 05ème;2001/2006;2010;Réalisation de 18 places d'internat;2.21;2.87;SAERP;Charlotte HUBERT (H2o Architectes) / UNANIME / Louis CHOULET Ingénierie / Cabinet Philippe VOTRUBA;2012-08-28;Renofors / BTNR / CMTB / Normen;;;2015-04-08;Opération livrée;2016;48.846358409,2.347383254
0750668U;2.343411409000055;48.88148312000004;Jacques-Decour;Paris 09ème;2001/2006;1998;Réhabilitation;9.348;9.36;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.88148312,2.343411409
0750784V;2.391504327000064;48.84675373500005;Métiers-de-l'ameublement;Paris 12ème;2001/2006;1998;Ravalement des façades, mise en conformité des ateliers et création foyer des élèves;0.43;1.0;SEMAEST;Laumonnier Menninger / SLI;2002-10-28;Coulon SA;Ent générale;;2005-10-02;Opération livrée;2006;48.846753735,2.391504327
0750679F;2.409176177000063;48.83983362300006;Paul-Valéry;Paris 12ème;2001/2006;1998;Rénovation et mise aux normes de la demi-pension;0.874;0.87;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.839833623,2.409176177
0750650Z;2.393445601000053;48.88824378500004;Alembert (d');Paris 19ème;2001/2006;1999;Restructuration du secteur prothèse;1.95;2.08;SEMAVIP;Jean-Michel Caillaud / BET BECET;2005-03-02;SAS Briand;Lots séparés;2;2007-11-05;Opération livrée;2008;48.888243785,2.393445601
0770927P;2.695130152000047;48.409493385000076;François-1er;Fontainebleau;2001/2006;1998;Rénovation - extension;21.64;26.89;Icade Promotion;SBM architecture / BET BPA ingénierie / Delporte;2000-12-19;Gagneraud;Ent générale;;2003-09-07;Opération livrée;2008;48.409493385,2.695130152
0770931U;2.865822476000062;48.95716431400007;Pierre-de-Coubertin;Meaux;2001/2006;2000;Extension de l'annexe des Fauvettes;3.35;5.02;Essonne aménagement;Vincent Franquet / Betom Ingenierie;2002-12-23;Canard;Ent générale;;2006-04-14;Opération livrée;2010;48.957164314,2.865822476
0771763Y;2.648511217000021;48.79894257900003;Charles-le-Chauve;Roissy-en-Brie;2001/2006;1999;Restructuration de la demi-pension et création de lieux de vie;3.81;6.02;DDE 77;Canale 3 / Projetud;2001-08-27;Hanny / Froid 77;Lots séparés;2;2004-05-24;Opération livrée;2005;48.798942579,2.648511217
0782565P;2.121153940000056;48.79453556100003;Jules-Ferry;Versailles;2017/2027;2017;Reconstruction et extension de 300 places (soit 2300 places);;;marché de partenariat;;;;;;;Etudes et diagnostics;;48.794535561,2.12115394
0910620E;2.458110364000049;48.61264075100007;Robert-Doisneau;Corbeil Essonne;2001/2006;2007;Restructuration partielle - extension;26.17;40.252;Essonne aménagement;Defrain-Souquet (DESO)/Olivier FRAISSE (TERRENEUVE);2010-06-21;Eiffage / Brunet / Ragueneau / Sésar;;;2014-01-07;En Chantier;;48.612640751,2.458110364
0911828T;2.420298327000069;48.62639908500006;Georges-Brassens;Courcouronnes;2017/2027;2017;Extension de 400 places;20.0;3.52;;;;;;;;Etudes et diagnostics;;48.626399085,2.420298327
0911927A;2.523899350000022;48.69934172600006;Maurice-Eliot;Epinay ss Sénart;2001/2006;2000;Aménagement de lieux de vie, de locaux d'enseignement & mise en sécurité du lycée;0.88;8.39;Essonne aménagement;Soisick Cleret / Sibat;2005-01-19;GTM;Ent générale;;2006-06-29;Opération livrée;2008;48.699341726,2.52389935
0911492C;2.165037667000036;48.67608278400007;Essouriau (l');Les Ulis;2001/2006;2005;Résorption des BD et implantation de bâtiments modulaires;3.0;3.4;Essonne aménagement;Rodrigues / Da Costa /Parila;2006-10-10;Dubocq / Sam / Gallier…;Lots séparés;6;2009-04-09;Opération livrée;2011;48.676082784,2.165037667
0911577V;2.298835504000067;48.68652609800006;Jacques-Prévert;Longjumeau;2001/2006;2007;Restructuration partielle - extension;18.4;24.97;Icade Promotion;Gaëtan Le Penhuel;2010-06-06;Altys / Froid 77 / CMS/Verdoia/SRC/Charpentier;Lots séparés;4;2015-05-22;En Chantier;;48.686526098,2.298835504
0911578W;2.411856325000031;48.63755853100008;Pierre-Mendès-France;Ris-Orangis;2012/2022;2016;Rénovation globale et extension de 600 places;40.0;7.04;SAERP;Jacques SEBBAG (Archi5prod);;;;;;Etude de maîtrise d'œuvre;;48.637558531,2.411856325
0920150N;2.284077486000058;48.90480073900005;Prony (de);Asnières;2001/2006;2001;Restructuration - extension;25.09;37.866;SAERP;Patricia Leboucq / Beterem;2005-08-31;Fayolle / Belliard / UTB / Satelec / Otis;Lots séparés;5;2009-06-22;Opération livrée;2017;48.904800739,2.284077486
0922615T;2.24913078000003;48.89145477500006;Lucie-Aubrac;Courbevoie;2012/2022;2013;Construction & extension de capacité de 700 places (1500 places au total);53.6;53.61;SAERP;Jean-Michel BURON (EPICURIA architectes);2015-03-17;EIFFAGE;;;;En Chantier;;48.891454775,2.24913078
0922397F;2.25346546000003;48.81932696400003;Eugène-Ionesco;Issy les Moulineaux;2001/2006;2001;Reconstruction - 2ème tranche;10.8;10.92;SAERP;Gaëtan Le Penhuel / Tech ingénierie / Guihenel;2004-08-04;Colas;Ent générale;;2005-06-16;Opération livrée;2007;48.819326964,2.25346546
0920147K;2.222669827000061;48.87743156400006;Paul-Langevin;Suresnes;2001/2006;2007;Restructuration partielle - mise en sécurité;7.78;8.98;SAERP;Laurence Mayeur architecte;;Quelin/charpentiers de paris/SPAL / Audax / Arthur Clément;Lots séparés;5;2015-04-09;Opération livrée;2017;48.877431564,2.222669827
0920149M;2.28696659700006;48.825146293000046;Michelet;Vanves;2012/2022;2015;Rénovation des espaces sportifs extérieurs;7.55;1.32;SAERP;Yves PAGES (EXPLORATIONS ARCHITECTURE);;;;;;Etude de maîtrise d'œuvre;;48.825146293,2.286966597
0930834B;2.508669742000052;48.94477165500007;Voillaume;Aulnay sous Bois;2012/2022;2013;Rénovation globale (bât B, C, D et entrée);45.68;43.18;SAERP;Ignacio PREGO architectures;;;;;;Sélection entreprise;;48.944771655,2.508669742
0932123C;2.429229615000054;48.907602902000065;André-Sabatier;Bobigny;2001/2006;2007;Restructuration partielle;4.61;5.09;Sequano aménagement;Olivier Boiron / Philippe Freiman;2009-10-27;SPR Bâtiment & industrie / Etandex / Sadec / UTB / BNTIN/NEGRO/CFA/SAS SOURCE;Lots séparés;8;2013-05-07;Opération livrée;2017;48.907602902,2.429229615
0930120A;2.322235043000035;48.95491825100004;Jacques-Feyder;Epinay sur Seine;2001/2006;2011;Restructuration globale - extension et construction d'un internat de 75 places;41.72;7.357;Essonne aménagement;Jacques SEBBAG (Archi5prod);2015-06-03;;;;2017-01-09;Sélection entreprise;;48.954918251,2.322235043
0930121B;2.449169864000055;48.863614332000054;Jean-Jaurès;Montreuil;2001/2006;2002;Rénovation partielle de la cuisine;0.36;0.63;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 93;;;;;;Opération livrée;;48.863614332,2.449169864
0932291K;2.520517906000066;48.86323435600008;Nicolas-Joseph-Cugnot;Neuilly-sur-Marne;2012/2022;2015;Restructuration globale et extension de 400 places;33.37;5.87;SAERP;Jean-Michel BURON (EPICURIA ARCHITECTES)/ CET Ingénierie;;;;;;Etude de maîtrise d'œuvre;;48.863234356,2.520517906
0932638M;2.552882374000035;48.848687881000046;international;Noisy le Grand;2001/2006;2009;Construction 1ère tranche (800 places)  - lycée + internat de 150 places;53.0;56.43;SAERP;Pierre Bolze (atelier 2/3/4);2011-08-25;CBC/GTM/Balas/Blanchard/solstyce/Kone/Ragueneau/Roussel;Lots séparés;7;2014-02-13;Opération livrée;2016;48.848687881,2.552882374
0932221J;2.511297991000049;48.88227084700003;Blaise-Pascal;Villemomble;2001/2006;2000;Aménagement et mise en conformité des lieux de vie, d'espaces sportifs et service de restauration;2.07;4.72;SAERP;Olivier Delaittre / Beterem;2004-08-26;Brezillon / IDFC…;Lots séparés;7;2008-04-07;Opération livrée;2010;48.882270847,2.511297991
0941474S;2.350712237000039;48.802280954000025;Darius-Milhaud;Le Kremlin Bicêtre;2001/2006;2000;Création d'un CDI et d'un foyer des élèves;3.4;3.8;SADEV 94;Rousselot / Oger / Negru / Guez ingénierie;2003-01-04;SEE Simeoni;Ent générale;;2005-05-23;Opération livrée;2006;48.802280954,2.350712237
0941952L;2.457271373000026;48.73035010000007;François-Arago;Villeneuve St Georges;2001/2006;2003;Restructuration partielle des lieux de vie et des ateliers;3.02;3.42;SAERP;Manoilesco / Cotec;2006-09-01;CBM / MGn / Schneider..;Lots séparés;10;2009-05-09;Opération livrée;2009;48.7303501,2.457271373
994CBPX?;;;Lycée neuf;Vincennes;2017/2027;;Construction lycée de 1000 places;3.0;3.0;;;;;;;;Etudes et diagnostics;;
0941294W;2.373327767000035;48.780452669000056;Adolphe-Chérioux;Vitry sur Seine;2001/2006;2011;Restructuration d'ensemble - extension;62.48;11.0;SAERP;Marc ISEPPI Atelier novembre;2015-02-03;;;;;Etude de maîtrise d'œuvre;;48.780452669,2.373327767
0950644J;2.294776;48.972559;Gustave-Monod;Enghien;2001/2006;2011;Restructuration site ouest - 2ème tranche;35.22;35.22;CITALLIOS (ex-SEM 92);Claude DENU (DENU & PARADON) - Cotraitant 1 : BeA Ingénierie - Cotraitant 2 : TRIBU;;;;;;Sélection entreprise;;48.972559,2.294776
0951722F;2.214404327000068;48.99104842300005;Jean-Monnet;Franconville;2001/2006;2001;Restructuration du service de restauration;4.75;5.97;SEMAEST;Mahmoud Keldi / V. Herault / Saunier;2005-02-07;Colas;Ent générale;;2008-06-20;Opération livrée;2009;48.991048423,2.214404327
0950650R;2.383654852000063;48.99472590500005;Jean-Jacques-Rousseau;Sarcelles;2001/2006;1998;Rénovation;17.98;27.1;SAGI;BAPST architecture & Bruno Pantz;2001-06-26;Léon Grosse;Ent générale;;2005-01-14;Opération livrée;2008;48.994725905,2.383654852
0951710T;2.021537452000075;49.03318270900007;Camille-Claudel;Vauréal;2001/2006;2008;Restructuration du service de restauration;2.6;2.6;SAERP;Atelier Claudia Sansovini;;;;;;Opération livrée;2012;49.033182709,2.021537452
0750558Z;2.375017810000031;48.85455877800007;Paul-Poiret;Paris 11ème;2001/2006;1999;Restructuration locaux libérés par le CDES;1.98;2.6;SEMAEST;Boiron;2000-05-09;DBS/Societep/CPA;Lots séparés;3;2001-11-26;Opération livrée;2003;48.854558778,2.37501781
0750677D;2.409505457000023;48.836625430000026;Elisa-Lemonnier;Paris 12ème;2001/2006;2001;Restructuration extension;32.44;33.96;SEMAEST;Léonard Weissmann / BETHAC / Tohier;2004-07-23;GCC;Ent générale;;2006-01-06;Opération livrée;2009;48.83662543,2.409505457
0754476H;2.330870501000049;48.83871522800007;Guillaume-Tirel;Paris 14ème;2001/2006;2007;Construction d'un internat de 100 places;7.67;8.8;Icade Promotion;Atelier BRENAC-GONZALEZ;;Bateg;Ent générale;;2013-05-13;Opération livrée;2014;48.838715228,2.330870501
0750707L;2.320860724000056;48.89714501700007;Ecole-Nationale-de-Commerce;Paris 17ème;2001/2006;1998;Restructuration et mise aux normes de la demi-pension;2.13;2.13;SEMAVIP;Eidekins / LGX Ingénierie / SOGEPIC;1999-11-30;BTNR Construction;Ent générale;;;Opération livrée;;48.897145017,2.320860724
0750650Z;2.393445601000053;48.88824378500004;Alembert (d');Paris 19ème;2001/2006;1998;Rénovation;10.67;14.35;SEMAVIP;Atelier architecture / Dubois / Projetud;1999-11-30;TMCR / Roger Renard / Otis / IDFC / Copsette;Lots séparés;7;2002-04-11;Opération livrée;2005;48.888243785,2.393445601
0770922J;2.612726781000049;48.88331908100008;Gaston-Bachelard/ Louis-Lumière;Chelles;2001/2006;2010;Restructuration du service de restauration;9.35;9.35;CITALLIOS (ex-SEM 92);Adrien DUMONT (COLOMER DUMONT MCBAD)/GRONTMIJ SECHAUD BOSSUYT/ARWYTEC;2014-11-06;;;;2016-01-09;En Chantier;;48.883319081,2.612726781
0772311U;3.092439;48.8241;Georges-Cormier;Coulommiers;2001/2006;2007;Restructuration partielle;9.21;9.21;Essonne aménagement;Guillaume COLBOC (Atelier O-S architecture) / Betom ingénierie;;Canard / Aimedieu / SCREG / Colas;Lots séparés;6;2011-06-20;Opération livrée;2014;48.8241,3.092439
0771027Y;2.64864968400002;48.518216831000075;Joliot-Curie;Dammarie-les-Lys;2001/2006;2010;Restructuration du service de restauration et création de lieux de vie;9.1;1.611;Aménagement 77;Guillaume COLBOC (Ateliers O-S Architectes);;;;;;Etude de maîtrise d'œuvre;;48.518216831,2.648649684
0772751X;2.679614480000055;49.064752214000066;Charlotte Delbo;Dammartin-en-Goele;2001/2006;2011;Construction d'un internat de 80 places;6.35;6.82;SAERP;Philippe LANKRY Architectes;2013-06-11;Nord France construction / Loison / UTB / SEEI / SANEI;Lots séparés;5;;Opération livrée;2017;49.064752214,2.67961448
0772294A;2.639627036000036;48.83890709100007;Emilie-Brontë;Lognes;2001/2006;2001;Construction d'un lycée provisoire;;0.0;Epamarne;MTC / Kalycyan / Djalili / Tisseyre;2001-10-19;CBM;Ent générale;;2002-04-03;Opération livrée;2002;48.838907091,2.639627036
0781860Y;2.170380720000026;48.91425027500003;Les-Pierres-Vives;Carrières-sur-Seine;2017/2027;2017;Extension de 600 places;24.41;4.3;;;;;;;;Sélection mandataire;;48.914250275,2.17038072
0783249H;2.132509520000042;48.839607760000035;Colbert;La Celle St Cloud;2001/2006;2002;Restructuration du service de restauration;3.88;4.38;CITALLIOS (ex-SARRY 78);Olivier Delaitre / Ancelet / Beterem;2005-05-13;Cif réhabilitation / Delcommune / Gougeon / IDFC;Lots séparés;4;2008-11-28;Opération livrée;2010;48.83960776,2.13250952
0782822U;2.137078862000067;48.846225213000025;Corneille;La Celle St Cloud;2001/2006;2000;Restructuration d'ensemble - rénovation;25.15;28.95;CITALLIOS (ex-SARRY 78);Hesters/Oyon/SIBI;2004-02-23;Campenon Bernard Construction;Ent générale;;2007-08-01;Opération livrée;2010;48.846225213,2.137078862
0781983G;2.051178288000074;48.93325687600003;Adrienne-Bolland;Poissy;2017/2027;2017;Opération ciblée réhabilitation des ateliers;9.6;1.5;;;;;;;;Sélection maîtrise d'œuvre;;48.933256876,2.051178288
0911251R;2.423566986000026;48.63688895800004;Parc-des-Loges;Evry;2001/2006;2001;Restructuration - extension;40.0;40.801;Essonne aménagement;Malisan / EPDC / Projetud;2005-01-21;SCGPM;Ent générale;;2006-11-09;Opération livrée;2011;48.636888958,2.423566986
0920130S;2.312998905000029;48.74868508700007;René-Descartes;Antony;2001/2006;2002;Restructuration d'ensemble - extension;34.8;44.657;AFTRP;Furet / OTH bâtiments;;Hervé / BTB Elec / SAGA / Sacamas..;Lots séparés;8;2009-09-25;Opération livrée;2014;48.748685087,2.312998905
0920138A;2.256805062000069;48.89987360500004;Paul-Lapie;Courbevoie;2001/2006;1998;Rénovation - extension;16.05;27.53;AFTRP;Falocci / Seri construction;1999-02-15;Quillery;Ent générale;;2002-05-27;Opération livrée;2006;48.899873605,2.256805062
0920146J;2.288115866000055;48.777587381000046;Marie-Curie;Sceaux;2001/2006;1998;Restructuration de la cuisine et création d'un self;2.28;2.28;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 92;;;;;;Opération livrée;;48.777587381,2.288115866
0921594H;2.326238596000053;48.94080595500003;Michel-Ange;Villeneuve la Garenne;2001/2006;1999;Reconstruction;12.95;17.62;DDE 92;Harari / ERP / Delta fluides / Loiseau;2002-01-25;Hervé / Beci / Vaninetti / Alufer…;Lots séparés;12;2005-11-14;Opération livrée;2008;48.940805955,2.326238596
0931024H;2.39150647300005;48.90538747700003;Jean-Pierre-Timbaud;Aubervilliers;2001/2006;1999;Réhabilitation - gros entretien;16.22;16.22;DDE 93;Cabinet Arthur;1996-01-23;Brezillon;METP;;1999-06-21;Opération livrée;2003;48.905387477,2.391506473
0931272C;2.542196852000075;48.88923944900006;Gustave-Eiffel;Gagny;2001/2006;2008;Restructuration du service de restauration et extension;12.6;17.41;Essonne aménagement;marc Nicolas architecte;2012-08-02;;;;;En Chantier;;48.889239449,2.542196852
0930122C;2.445542092000039;48.85751894200007;Condorcet;Montreuil;2001/2006;1998;Extension et aménagement de l'atelier automobile;4.27;5.67;DDE 93;Lointier / Betom;1999-02-25;Colas / Sertba / Traphon / Alma;Lots séparés;6;2002-10-21;Opération livrée;2004;48.857518942,2.445542092
993RF5Z?;;;Lycée neuf;Pierrefitte;2017/2027;;Construction lycée 1200 places;;;marché de partenariat;;;;;;;Etudes et diagnostics;;
0930124E;2.394769293000024;48.905065869000055;Marcelin-Berthelot;Pantin;2001/2006;2011;Création d'un internat de 100 places;8.5;9.3;SAERP;Chomette-Lupi et associés architectes;2014-04-30;;;;;Sélection entreprise;;48.905065869,2.394769293
0930125F;2.36448650400007;48.941297219000035;Paul-Eluard;Saint Denis;2001/2006;2003;Restructuration du service de restauration;8.29;8.29;SEMAVO;TOA / EVP ingénierie;2006-12-20;Bati Ouest / Renard / Sadec / Flipo;Lots séparés;12;2010-05-21;Opération livrée;2013;48.941297219,2.364486504
0932074Z;2.33750249000002;48.91796645000005;Marcel-Cachin;Saint Ouen;2017/2027;2017;Rénovation globale / reconstruction;47.0;8.27;;;;;;;;Sélection mandataire;;48.91796645,2.33750249
0942269F;2.340110695000021;48.77285634100008;Pauline-Roland;Chevilly Larue;2017/2027;2017;Extention de 400 places;6.44;1.13;;;;;;;;Sélection mandataire;;48.772856341,2.340110695
0941413A;2.445162572000072;48.77975734300003;Léon-Blum;Créteil;2001/2006;2000;Réfection des extérieurs et réalisation d'un hall central;0.72;6.51;SADEV 94;Ligne 7 / Ibat / Bethac;2002-02-27;SEE Simeoni;Ent générale;;2005-05-23;Opération livrée;2007;48.779757343,2.445162572
0940117S;2.482605078000063;48.835229999000035;Edouard-Branly;Nogent sur Marne;2001/2006;2000;Restructuration d'ensemble - extension;19.82;20.23;SAERP;Jean-François Schmit / Ingenierie Studio;2004-06-29;Bateg;Ent générale;;2006-03-27;Opération livrée;2008;48.835229999,2.482605078
0942130E;2.515424525000071;48.770416873000045;Montaleau;Sucy en Brie;2001/2006;2002;Restructuration d'ensemble - extension;15.35;18.23;SADEV 94;de Soos / Pixea / CET ingénierie;2006-09-01;Boyer / Algeco / Ragueneau;Lots séparés;3;2008-03-21;Opération livrée;2010;48.770416873,2.515424525
0941294W;2.373327767000035;48.780452669000056;Adolphe-Chérioux;Vitry sur Seine;2001/2006;1999;Restructuration et réhabilitation lourde du bâtiment C;1.859;1.86;;Opération cofinancée - maîtrise d'ouvrage par le département de CG 94;;;;;;Opération livrée;;48.780452669,2.373327767
0951618T;2.108028500000046;49.02202325300004;Auguste-Escoffier;Eragny;2012/2022;2013;Rénovation simple;6.0;1.06;CITALLIOS (ex-SEM 92);Architecture PATRICK MAUGER /A.val Consultants / CAP Ingelec / ARWYTEC;2016-06-04;;;;;Etude de maîtrise d'œuvre;;49.022023253,2.1080285
0750654D;2.347383254000022;48.84635840900006;Henri-IV;Paris 05ème;2017/2027;2018;Rénovation de la coupole des croisées des Génovéfains;4.73;0.79;SAERP;;;;;;;Etudes et diagnostics;;48.846358409,2.347383254
0750693W;2.311711522000053;48.84345771000005;Buffon;Paris 15ème;2001/2006;2009;Restructuration ciblée du pôle sciences du collège et du lycée;3.2;3.27;SAERP;Dominique PINON;;SNCP/SCGE/CLIMASCIENCE;Lots séparés;3;;Opération livrée;2013;48.84345771,2.311711522
0750612H;2.295018335000066;48.83368956100003;ENSAAMA;Paris 15ème;2001/2006;1998;Rénovation/extension;16.76;23.72;SEMAVIP;Lehoux-Phily / Rouquette / SMC/CET/GAY PUIG;2000-07-08;Colas;Ent générale;;2004-07-07;Opération livrée;2009;48.833689561,2.295018335
0750699C;2.279442298000049;48.86555024300003;Janson-de-Sailly;Paris 16ème;2001/2006;1998;Restructuration liée au désamiantage;3.399;3.4;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.865550243,2.279442298
0750702F;2.256571096000073;48.84519000800003;La-Fontaine;Paris 16ème;2001/2006;1997;Réaménagement du CDI;0.82;0.9;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.845190008,2.256571096
0750704H;2.307832346000055;48.88448613500003;Carnot;Paris 17ème;2001/2006;2002;Restructuration de la cuisine et du service de restauration de la hall Eiffel;1.42;1.42;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2005;48.884486135,2.307832346
0770918E;2.736431449000065;48.40973630500008;Uruguay-France;Avon;2012/2022;2013;Reconstruction de l'internat de 170 places et extension de 30 places nouvelles;17.0;2.99;SAERP;françois LECLERCQ;2015-01-08;;;;;Etude de maîtrise d'œuvre;;48.409736305,2.736431449
